State,Best Action,Max Throughput
480,$a_2$,475
490,$a_1$,498
400,$a_3$,411
300,$a_3$,309
350,$a_8$,346
200,$a_2$,207
500,$a_1$,513
420,$a_3$,420
450,$a_7$,445
