State,Best Action,Max Throughput
490,$a_5$,515
400,$a_3$,448
420,$a_1$,467
350,$a_3$,383
300,$a_1$,325
200,$a_8$,250
480,$a_7$,492
450,$a_2$,463
500,$a_7$,500
100,$a_2$,130
50,$a_2$,78
600,$a_3$,550
